P0x6412    Ausgangspunkt für Wanderweg
P0x6413    Tunnel
P0x6414    Brunnen
P0x6415    Wüstung
P0x6416    Ruine

P0x6500    Wasserbauliche Einrichtung
P0x6501    Arroyo
P0x6502    Sandbank
P0x6503    Küste
P0x6504    Flußbiegung
P0x6505    Kanal
P0x6506    Wasserstraße
P0x6507    Bucht
P0x6508    Wasserfall
P0x6509    Geysier
P0x650a    Gletscher
P0x650b    Hafen
P0x650c    Insel
P0x650d    See
P0x650e    Stromschnelle
P0x650f    Wasserspeicher
P0x6510    See
P0x6511    Quelle
P0x6512    Strom
P0x6513    Moor

P0x6600    Landschaftsteil
P0x6601    Höle
P0x6602    Gebiet
P0x6603    Becken
P0x6604    Strand
P0x6605    Bank
P0x6606    Kap
P0x6607    Klippe
P0x6608    Krater
P0x6609    Ebene
P0x660a    Wald
P0x660b    Schlucht, Spalte, Klamm
P0x660c    Gut
P0x660d    Landenge
P0x660e    Lava
P0x660f    Säule
P0x6610    Ebene
P0x6611    Range
P0x6612    Reservat
P0x6613    Grat
P0x6614    Felsen
P0x6615    Hang, Wand
P0x6616    Gipfel
P0x6617    Tal
P0x6618    Wald

L0x00    Straße
L0x01    Autobahn
L0x02    Autostraße
L0x03    Schnellstraße
L0x04    Hauptstraße
L0x05    Nebenstraße
L0x06    Anliegerstraße
L0x07    Privatstraße
L0x08    Autobahnauffahrt (langsam)
L0x09    Autobahnauffahrt (schnell)
L0x0a    unbefestigte Straße
L0x0b    Autobahnzubringerstraße
L0x0c    Kreisverkehr

L0x14    Gleis
L0x15    Küstenlinie
L0x16    Wanderweg
L0x18    Bach
L0x19    Zeitzonengrenze
L0x1a    Fähre
L0x1b    Fähre
L0x1c    Provinzegrenze
L0x1d    Landesgrenze
L0x1e    Internationale grenze
L0x1f    Fluß

L0x20    Höhenlinie (dünn)
L0x21    Höhenlinie (mittel)
L0x22    Höhenlinie (dick)
L0x23    Tiefenlinie (dünn)
L0x24    Tiefenlinie (mittel)
L0x25    Tiefenlinie (dick)
L0x26    Bach/Graben
L0x27    Rollbahn
L0x28    Pipeline
L0x29    Freileitung
L0x2a    Seegrenze
L0x2b    Gefahrenzone

G0x01    Bebautes Gebiet (>200000 Einwohner)
G0x02    Bebautes Gebiet (<200000 Einwohner)
G0x03    Gartenhaus-, Bungalow-  Gebiet
G0x04    Militärgelände
G0x05    Parkplatz
G0x06    Parkhaus
G0x07    Flugplatz
G0x08    Einkaufszentrum
G0x09    Marina
G0x0a    Universität, Hochschule
G0x0b    Krankenhaus
G0x0c    Gewerbegebiet
G0x0d    Reservat
G0x0e    Rollbahn

G0x13    Gebäude
G0x14    Nationalpark
G0x15    Nationalpark
G0x16    Nationalpark
G0x17    Stadtpark
G0x18    Golfplatz
G0x19    Sportkomplex
G0x1a    Friedhof
G0x1e    Naturpark
G0x1f    Naturpark

G0x20    Naturpark
G0x28    Meer/Ozean
G0x29    Blau/ unbekannt

G0x32    Meer
G0x3b    Blau/ unbekannt
G0x3c    großer See (250-600 qkm)
G0x3d    großer See (77-250 qkm)
G0x3e    mittlerer See (25-77 qkm)
G0x3f    mittlerer See (11-25 qkm)

G0x40    kleiner See (0.25-11 qkm)
G0x41    kleiner See (<0.25 qkm)
G0x42    großer See (>3.300 qkm)
G0x43    großer See (1.100-3.300 qkm)
G0x44    großer See (600-1.100 qkm)
G0x45    Blau/ unbekannt
G0x46    Strom  (>1 km)
G0x47    Großer Fluß (200 m-1 km)
G0x48    mittlerer Fluss (40-200 m)
G0x49    kleiner (<40 m)
G0x4a    Hintergrund
G0x4b    Definitionbereich
G0x4c    Wasserfläche
G0x4d    Gletscher
G0x4e    Pflanzung, Plantage, Gärtnerei
G0x4f    Gestrüpp

G0x50    Wald
G0x51    Moor, Weide(feucht)
G0x52    Tundra, Ödland
G0x53    Sandbank
